,Type,Time(%),Time,Calls,Avg,Min,Max,Name
0,GPU activities,95.54,9.7272,8,1.2159,0.52412,1.3638,[CUDA memcpy HtoD]
1,,1.33,0.13587,1,0.13587,0.13587,0.13587,summator_29_gpu
2,,1.2,0.12179000000000001,1,0.12179000000000001,0.12179000000000001,0.12179000000000001,summator1_39_gpu
3,,0.97,0.09878400000000001,1,0.09878400000000001,0.09878400000000001,0.09878400000000001,summator_29_gpu__red
4,,0.88,0.089695,1,0.089695,0.089695,0.089695,summator1_39_gpu__red
5,,0.04,0.004096,2,0.002048,0.001632,0.002464,[CUDA memcpy DtoH]
6,,0.03,0.003328,2,0.001664,0.0014399999999999999,0.001888,[CUDA memset]
7,API calls,85.71,182.61,1,182.61,182.61,182.61,cuDevicePrimaryCtxRetain
8,,11.8,25.141,1,25.141,25.141,25.141,cuMemHostAlloc
9,,1.45,3.092,6,0.5153300000000001,0.002785,1.3422,cuStreamSynchronize
10,,0.41,0.86801,1,0.86801,0.86801,0.86801,cuMemAllocHost
11,,0.38,0.80334,5,0.16066999999999998,0.00376,0.30897,cuMemAlloc
12,,0.12,0.25657,1,0.25657,0.25657,0.25657,cuModuleLoadDataEx
13,,0.04,0.08882599999999999,8,0.011103,0.00718,0.022831,cuMemcpyHtoDAsync
14,,0.03,0.058874,4,0.014718,0.005397,0.027827,cuLaunchKernel
15,,0.01,0.023986,8,0.0029980000000000002,0.0013939999999999998,0.005836,cuEventSynchronize
16,,0.01,0.022191,9,0.0024649999999999997,0.00185,0.0036469999999999996,cuEventRecord
17,,0.01,0.020417,2,0.010208,0.010115,0.010302,cuMemsetD32Async
18,,0.01,0.012805,2,0.006402,0.0053609999999999994,0.007444,cuMemcpyDtoHAsync
19,,0.01,0.012602,4,0.00315,0.0019950000000000002,0.005343,cuDeviceGetPCIBusId
20,,0.01,0.011138,22,0.000506,0.000416,0.001042,cuDeviceGetAttribute
21,,0.0,0.009051,3,0.0030169999999999997,0.00183,0.003939,cuPointerGetAttributes
22,,0.0,0.0052,3,0.0017330000000000002,0.000345,0.0025830000000000002,cuEventCreate
23,,0.0,0.004876,8,0.000609,0.000385,0.002057,cuDeviceGet
24,,0.0,0.003408,3,0.0011359999999999999,0.000525,0.0022530000000000002,cuDeviceGetCount
25,,0.0,0.00204,4,0.00051,0.000397,0.000779,cuDeviceComputeCapability
26,,0.0,0.0013260000000000001,1,0.0013260000000000001,0.0013260000000000001,0.0013260000000000001,cuCtxGetCurrent
27,,0.0,0.001258,3,0.000419,0.000238,0.000588,cuCtxSetCurrent
28,,0.0,0.001228,4,0.000307,0.000182,0.000593,cuModuleGetFunction
29,,0.0,0.001156,3,0.000385,0.00014,0.000538,cuDriverGetVersion
30,OpenACC (excl),78.19,41.708,1,41.708,41.708,41.708,acc_enter_data@sinus1.c:28
31,,14.85,7.9229,1,7.9229,7.9229,7.9229,acc_enter_data@sinus1.c:38
32,,2.52,1.3435,1,1.3435,1.3435,1.3435,acc_wait@sinus1.c:38
33,,2.45,1.3087,1,1.3087,1.3087,1.3087,acc_wait@sinus1.c:28
34,,0.54,0.28551,1,0.28551,0.28551,0.28551,acc_device_init@sinus1.c:28
35,,0.43,0.22952,1,0.22952,0.22952,0.22952,acc_wait@sinus1.c:29
36,,0.39,0.20618999999999998,1,0.20618999999999998,0.20618999999999998,0.20618999999999998,acc_wait@sinus1.c:39
37,,0.17,0.08951600000000001,5,0.017903,0.010547,0.034654000000000004,acc_enqueue_upload@sinus1.c:28 (arr)
38,,0.07,0.037083,3,0.012361,0.010863,0.014984,acc_enqueue_upload@sinus1.c:38 (arr)
39,,0.06,0.032744999999999996,1,0.032744999999999996,0.032744999999999996,0.032744999999999996,acc_enqueue_launch@sinus1.c:29 (summator_29_gpu)
40,,0.05,0.024212,1,0.024212,0.024212,0.024212,acc_exit_data@sinus1.c:28
41,,0.04,0.023643,1,0.023643,0.023643,0.023643,acc_enqueue_launch@sinus1.c:39 (summator1_39_gpu)
42,,0.04,0.023248,1,0.023248,0.023248,0.023248,acc_wait@sinus1.c:41
43,,0.04,0.022489000000000002,1,0.022489000000000002,0.022489000000000002,0.022489000000000002,acc_enqueue_download@sinus1.c:31 (ans)
44,,0.03,0.015849,1,0.015849,0.015849,0.015849,acc_compute_construct@sinus1.c:28
45,,0.02,0.012714,1,0.012714,0.012714,0.012714,acc_enqueue_upload@sinus1.c:28 (ans)
46,,0.02,0.011823,1,0.011823,0.011823,0.011823,acc_enqueue_upload@sinus1.c:38 (ans)
47,,0.02,0.009382,1,0.009382,0.009382,0.009382,acc_enqueue_download@sinus1.c:41 (ans)
48,,0.02,0.009035,1,0.009035,0.009035,0.009035,acc_wait@sinus1.c:31
49,,0.02,0.008336999999999999,1,0.008336999999999999,0.008336999999999999,0.008336999999999999,acc_exit_data@sinus1.c:38
50,,0.01,0.007481,1,0.007481,0.007481,0.007481,acc_enqueue_launch@sinus1.c:39 (summator1_39_gpu__red)
51,,0.01,0.006472,1,0.006472,0.006472,0.006472,acc_enqueue_launch@sinus1.c:29 (summator_29_gpu__red)
52,,0.01,0.003692,1,0.003692,0.003692,0.003692,acc_compute_construct@sinus1.c:38
53,,0.0,0.0,2,0.0,0.0,0.0,acc_alloc@sinus1.c:28
54,,0.0,0.0,2,0.0,0.0,0.0,acc_create@sinus1.c:28
55,,0.0,0.0,2,0.0,0.0,0.0,acc_delete@sinus1.c:31
56,,0.0,0.0,1,0.0,0.0,0.0,acc_alloc@sinus1.c:38
57,,0.0,0.0,2,0.0,0.0,0.0,acc_create@sinus1.c:38
58,,0.0,0.0,2,0.0,0.0,0.0,acc_delete@sinus1.c:41
